name,citations,S2 corpusId
Yale Face Database B,4144,9234219
LFW,3864,88166
FERRET,3429,38520234
AR,3288,57227467
VGGFace,2824,4637184
LFWA,2482,459456
CelebA,2482,459456
AU-Coded Facial Expression Database (Cohn-Kanade),2402,16251989
FRGCv2,2181,844981
Extended Yale Face Database B,2075,2458350
CK+,2037,3329621
JAFFE,1640,1586662
PIE,1444,2091854
Multi-PIE,1370,208935309
RaFD,1333,53591987
PubFig,1330,3136364
CelebFaces+,1306,206592295
XM2VTS,1295,15312675
BU-3DFE,992,15408906
CASIA-WebFace,936,17188384
YTF,906,9898157
MMI,801,9360559
MORPH,795,21440926
DukeMTMC,711,5584770
MS-Celeb-1M,634,2908606
Bosphorus,630,1725730
VGGFace2,597,216009
Oxford TownCentre,561,12095886
CUFS,473,7842982
Replay-Attack,444,6591948
IJB-A,442,3176168
YTC,428,9776222
Attributes 25K,413,6943286
MegaFace,400,7811489
FER-2013,383,1103216
FaceTracer,363,945967
CASIA-FASD,356,6588728
Berkeley Human Attributes,327,6980765
Oulu-CASIA,232,42190821
AffectNet,227,37515850
Brainwash,227,206593654
CACD,216,16458
EmotioNet,211,17612122
SPEW 2.0,172,17781221
PaSC,165,2480405
CUFSF,165,2031123
CFP,163,6544744
CASIA NIR-VIS v2.0,163,14710372
RAF-DB,158,11413183
IJB-C,123,28375094
IJB-B,110,2141447
CASIA-HFB,103,17536699
UMDFaces,102,66176
Ego-Humans,100,5755372